Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Ciamis;2022;Perkotaan;Mata air terlindung;21376,59882
Ciamis;2022;Perdesaan;Sumur bor/pompa;47306,20155
Ciamis;2022;Perkotaan;Sumur bor/pompa;40575,90493
Ciamis;2022;Perdesaan;Sumur tak terlindung;6036,182488
Ciamis;2022;Perkotaan;Sumur tak terlindung;516,9631965
Ciamis;2022;Perdesaan;Sumur terlindung;64409,57718
Ciamis;2022;Perkotaan;Sumur terlindung;35011,90365
Ciamis;2023;Perdesaan;Air hujan;65,36058443
Ciamis;2023;Perdesaan;Air isi ulang;58248,38329
Ciamis;2023;Perkotaan;Air isi ulang;48332,67103
Ciamis;2023;Perdesaan;Air kemasan bermerk;943,6457671
Ciamis;2023;Perkotaan;Air kemasan bermerk;5837,828378
Ciamis;2023;Perdesaan;Air permukaan;584,8997497
Ciamis;2023;Perdesaan;Leding;2179,409221
Ciamis;2023;Perkotaan;Leding;8547,488219
Ciamis;2023;Perdesaan;Mata air tak terlindung;8384,426314
Ciamis;2023;Perkotaan;Mata air tak terlindung;664,9838032
Ciamis;2023;Perdesaan;Mata air terlindung;33104,38579
Ciamis;2023;Perkotaan;Mata air terlindung;31656,44069
Ciamis;2023;Perdesaan;Sumur bor/pompa;33509,80408
Ciamis;2023;Perkotaan;Sumur bor/pompa;20714,92868
Ciamis;2023;Perdesaan;Sumur tak terlindung;780,5971031
Ciamis;2023;Perkotaan;Sumur tak terlindung;1893,804916
Ciamis;2023;Perdesaan;Sumur terlindung;70066,36098
Ciamis;2023;Perkotaan;Sumur terlindung;47301,54909
Cianjur;2019;Perdesaan;Air isi ulang;34368,80986
Cianjur;2019;Perkotaan;Air isi ulang;70137,64389
Cianjur;2019;Perdesaan;Air kemasan bermerk;3372,930862
Cianjur;2019;Perkotaan;Air kemasan bermerk;12730,09628
Cianjur;2019;Perdesaan;Air permukaan;670,3189087
Cianjur;2019;Perkotaan;Air permukaan;996,2791748
Cianjur;2019;Perdesaan;Lainnya;506,654541
Cianjur;2019;Perdesaan;Leding;3873,491745
Cianjur;2019;Perkotaan;Leding;17026,00098
Cianjur;2019;Perdesaan;Mata air tak terlindung;50326,68413
Cianjur;2019;Perkotaan;Mata air tak terlindung;8623,19545
Cianjur;2019;Perdesaan;Mata air terlindung;47225,66064
Cianjur;2019;Perkotaan;Mata air terlindung;13675,4805
Cianjur;2019;Perdesaan;Sumur bor/pompa;29762,47324
Cianjur;2019;Perkotaan;Sumur bor/pompa;68636,84345
Cianjur;2019;Perdesaan;Sumur tak terlindung;31994,39713
Cianjur;2019;Perkotaan;Sumur tak terlindung;9516,298798
Cianjur;2019;Perdesaan;Sumur terlindung;162234,5652
Cianjur;2019;Perkotaan;Sumur terlindung;82290,21645
Cianjur;2020;Perdesaan;Air isi ulang;45552,0913
Cianjur;2020;Perkotaan;Air isi ulang;66088,50558
Cianjur;2020;Perdesaan;Air kemasan bermerk;2443,566162
Cianjur;2020;Perkotaan;Air kemasan bermerk;14160,49191
Cianjur;2020;Perdesaan;Air permukaan;24740,30603
Cianjur;2020;Perkotaan;Air permukaan;8716,626251
