Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bekasi;2020;Perkotaan;Berwarna;Ya;22446,83371
Bekasi;2021;Perkotaan;Berwarna;Ya;33755,95245
Bekasi;2022;Perkotaan;Berwarna;Ya;8646,582749
Bekasi;2023;Perkotaan;Berwarna;Ya;8329,313942
Bekasi;2019;Perdesaan;Berwarna;Tidak;79965,27467
Bekasi;2020;Perdesaan;Berwarna;Tidak;83321,18695
Bekasi;2021;Perdesaan;Berwarna;Tidak;56574,90467
Bekasi;2022;Perdesaan;Berwarna;Tidak;58075,65468
Bekasi;2023;Perdesaan;Berwarna;Tidak;32000,7614
Bekasi;2019;Perkotaan;Berwarna;Tidak;929212,1044
Bekasi;2020;Perkotaan;Berwarna;Tidak;980658,9864
Bekasi;2021;Perkotaan;Berwarna;Tidak;1018243,484
Bekasi;2022;Perkotaan;Berwarna;Tidak;1063200,804
Bekasi;2023;Perkotaan;Berwarna;Tidak;1048225,468
Bekasi;2019;Perdesaan;Keruh;Ya;2794,68267
Bekasi;2020;Perdesaan;Keruh;Ya;651,4682007
Bekasi;2022;Perdesaan;Keruh;Ya;7752,30852
Bekasi;2023;Perdesaan;Keruh;Ya;518,4487922
Bekasi;2019;Perkotaan;Keruh;Ya;29464,90192
Bekasi;2020;Perkotaan;Keruh;Ya;44039,19489
Bekasi;2021;Perkotaan;Keruh;Ya;33609,39569
Bekasi;2022;Perkotaan;Keruh;Ya;38678,92811
Bekasi;2023;Perkotaan;Keruh;Ya;12367,81946
Bekasi;2019;Perdesaan;Keruh;Tidak;79425,04283
Bekasi;2020;Perdesaan;Keruh;Tidak;82669,71875
Bekasi;2021;Perdesaan;Keruh;Tidak;56574,90467
Bekasi;2022;Perdesaan;Keruh;Tidak;51406,12587
Bekasi;2023;Perdesaan;Keruh;Tidak;40363,97946
Bekasi;2019;Perkotaan;Keruh;Tidak;911262,0302
Bekasi;2020;Perkotaan;Keruh;Tidak;959066,6252
